doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,topic_cluster
ae3223130b9dfdd25034c382,1.1989622,4.0108733,9.375454,4.0704417,1.172444,8.289488,10.85288,9.118182,6.405385,9.099548,3.042129,3.2193882,5.3627443,4.2752337,3.4592166,18
c2fca04c81ea8b85aaad657e,1.3006306,4.0198646,9.444131,4.49039,1.1728678,8.528105,11.276905,8.603283,7.115772,9.168559,3.0973685,3.544438,5.4197164,4.778726,3.2429729,54
ccefe194e0976057195b1c00,1.158492,4.253771,9.200295,4.141504,0.6634981,8.4625,10.276023,9.652571,6.443937,8.911462,2.3575559,2.6917472,5.9706736,4.3457785,3.8412724,24
cdb2138a7849ea1005ffca63,1.072598,4.100839,9.371886,4.6182914,1.3876754,8.552211,10.694719,8.898941,6.6446905,9.277215,3.0036414,3.7506392,5.0926046,4.2969313,3.2671778,50
e5ed69365408d521a5bbaef5,1.1905847,3.9143333,9.353777,4.4224005,1.1452036,8.8835535,10.826002,8.847539,6.663977,9.074337,3.0368805,3.527157,5.4268894,4.5163717,3.2275548,54
e71d3ba94803f5851535a262,1.2333134,3.8760383,8.83371,3.191164,1.6731045,9.605979,10.852215,9.557949,7.1957545,9.098049,3.7803705,3.7644763,7.465177,5.317666,2.894807,7
f8105b291511b412dcffda12,1.158952,3.701931,9.530908,4.002296,1.1061836,8.4833,10.675505,9.339921,6.4885845,9.341309,3.763282,3.5600872,5.0905523,5.0417633,3.0596383,-1
a2d4c4624e434b381d523764,2.0749202,4.14742,9.275201,4.067908,1.3398414,9.119773,10.259127,9.606089,6.646292,9.210366,3.1652474,3.6568565,5.548887,4.587426,3.1115332,9
01b3924f32ca09fedd7d75e7,1.5005482,4.0310316,9.586638,3.6924806,1.018296,8.30484,9.831488,9.947395,5.9630694,9.466216,3.09601,2.8756692,5.727856,4.399714,3.7540948,30
0515be29218817480c9c781a,1.0925971,3.6746078,9.559711,4.46008,1.3913114,8.425461,10.014331,9.745074,6.592056,9.137623,3.8529806,3.4982588,5.236443,4.7460794,3.206077,-1
060cf07513dd6b9fa7419f3f,2.6230063,6.3337116,8.683009,2.916624,0.9846885,9.919653,13.169768,8.6441145,8.628807,7.941303,1.3593415,3.5200865,7.24904,3.9445333,3.808574,-1
08752b2db5d1f300578834de,1.4296875,4.2648616,9.489783,4.7272835,1.1573374,8.845511,10.026559,9.5741625,7.023318,9.331364,2.7936482,3.4254444,6.172635,4.591577,3.5061285,-1
121ea624859e30d66b23195a,1.4801146,4.4831247,9.413485,4.4298034,0.8611738,9.212579,10.860662,8.690348,7.2394285,8.806244,2.1978095,3.2737632,6.1875057,4.918119,3.5372143,56
19e65282d675fca478b8a8bc,1.2253944,3.6394944,9.656429,4.914772,1.4274448,8.291313,9.761024,9.799327,6.695867,8.902731,3.7239528,3.193734,5.2865295,4.3538833,3.433387,15
1a3722e72f6627465837c847,1.4815792,3.9078288,8.891027,3.1921859,1.4177027,9.266981,10.709506,9.648375,6.9132595,9.303237,3.6794224,3.5565426,6.879782,5.1967344,3.1121268,7
